framework_id,framework_name,framework_description,criterion_id,criterion_name,criterion_description,weight_percent,level,level_label,level_description
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-credibility,Trust — Credibility,Expertise demonstrated in context. Does the rep earn the right to be taken seriously?,20,1,Poor,Sounds scripted or shallow. Cannot answer substantive questions.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-credibility,Trust — Credibility,Expertise demonstrated in context. Does the rep earn the right to be taken seriously?,20,2,Below Average,Some expertise visible but inconsistent; leans on marketing language.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-credibility,Trust — Credibility,Expertise demonstrated in context. Does the rep earn the right to be taken seriously?,20,3,Adequate,Competent but standard — could be any rep at any vendor.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-credibility,Trust — Credibility,Expertise demonstrated in context. Does the rep earn the right to be taken seriously?,20,4,Good,Clear subject expertise demonstrated in context with specific examples.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-credibility,Trust — Credibility,Expertise demonstrated in context. Does the rep earn the right to be taken seriously?,20,5,Excellent,Demonstrates real expertise that reframes the client's understanding of the space.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-intimacy,Trust — Intimacy,Does the customer open up? Is there real dialogue vs transactional Q&A?,20,1,Poor,No personal connection. Transactional exchange only.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-intimacy,Trust — Intimacy,Does the customer open up? Is there real dialogue vs transactional Q&A?,20,2,Below Average,Transactional warmth — pleasant but shallow.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-intimacy,Trust — Intimacy,Does the customer open up? Is there real dialogue vs transactional Q&A?,20,3,Adequate,Basic rapport established. Polite and professional.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-intimacy,Trust — Intimacy,Does the customer open up? Is there real dialogue vs transactional Q&A?,20,4,Good,Client shares real concerns and priorities beyond the official brief.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-intimacy,Trust — Intimacy,Does the customer open up? Is there real dialogue vs transactional Q&A?,20,5,Excellent,Customer opens up — real dialogue. They share things they hadn't planned to share.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-self-orientation,Trust — Self-Orientation (inverted),"Scored inverted — 5 = customer-first, 1 = pitch-focused. In the Trust Equation, Self-Orientation is the denominator: lower is better.",20,1,Poor,"Pitch-focused. Drives own agenda, ignores client signals, talks over customer."
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-self-orientation,Trust — Self-Orientation (inverted),"Scored inverted — 5 = customer-first, 1 = pitch-focused. In the Trust Equation, Self-Orientation is the denominator: lower is better.",20,2,Below Average,Agenda-driven with occasional nods to the customer's situation.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-self-orientation,Trust — Self-Orientation (inverted),"Scored inverted — 5 = customer-first, 1 = pitch-focused. In the Trust Equation, Self-Orientation is the denominator: lower is better.",20,3,Adequate,Balanced — roughly equal attention to own agenda and customer needs.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-self-orientation,Trust — Self-Orientation (inverted),"Scored inverted — 5 = customer-first, 1 = pitch-focused. In the Trust Equation, Self-Orientation is the denominator: lower is better.",20,4,Good,Mostly customer-oriented. Occasional agenda moments but quickly returns to customer.
human-edge,Human Edge Commercial,"Evaluates thinking quality + trust impact across 5 dimensions. Composite 5-10 = Replaceable (high AI risk); 11-18 = Transitional (at risk); 19-25 = Human Edge (differentiated, low AI risk).",he-self-orientation,Trust — Self-Orientation (inverted),"Scored inverted — 5 = customer-first, 1 = pitch-focused. In the Trust Equation, Self-Orientation is the denominator: lower is better.",20,5,Excellent,"Clearly customer-first. Every move serves the customer's outcome, not the rep's quota."
